lei,bic,legalName,countryCode
213800CWWS2B77LUJ848,BERTBMH1XXX,"BERMUDA TRUST COMPANY LIMITED",GB
213800NTJEPFURB3WB19,MEZLGB21XXX,"MET ZURICH LLP",GB
213800VQLSHHWOYKKZ33,WDMEAEA1XXX,"HSBC FINANCIAL SERVICES (MIDDLE EAST) LIMITED CO",GB
213800JTHPE2LUEMTP38,BGLANL2AXXX,"BA GLASS B.V.",NL
213800RS5T5R9CMPX149,BUSLGB21XXX,"BUREAU SOLUTIONS LIMITED",GB
2138009NJZSZQPYO8W25,HCESEGC1XXX,"HSBC SECURITIES EGYPT",GB
213800WHR4XUR7FE9C59,RESNITM1XXX,"RENDE SHOPPING CENTRE S.P.A.",IT
0W1U67PTV5WY3WYWKD79,BBDABMHMXXX,"HSBC BANK BERMUDA LIMITED",BM
213800YRPSOSH9OA2V29,BBMEOMRXXXX,"HSBC BANK OMAN SAOG",OM
2138009IY65NWMRNV733,INRVGB21XXX,"INVESTMENT SERVICES UK LIMITED",GB
2138002DFHCS6QER7P29,AFEWQAQAXXX,"AL DAR FOR EXCHANGE WORKS",QA
213800T38ERVY7FN8L42,AXIPJPJTXXX,アクサ生命保険株式会社。株式会社。,JP
213800QW4D2Z6HZ9AJ53,LUIAGB21XXX,"LUDGATE INVESTMENTS LIMITED",GB
213800Q6V1Z3WYBL8229,OBRNGB21XXX,"R.J. O'BRIEN (UK) LIMITED",GB
213800KTOVXS24IKA678,KLCNGB21XXX,"KITE LAKE CAPITAL MANAGEMENT (UK) LLP",GB
213800MVMV34RK62YC26,TTSCGB21XXX,"TTX SECURITIES UK LIMITED",GB
261700IT8OJ76FTPJP39,SGPSAU21XXX,"SGHCP PTY LTD",AU
2138007LKRN5CICILZ80,BLKIGB21XXX,"BLACK KETTLE INTERNATIONAL LIMITED",GB
213800N7TB6R4NCA3R64,KBRLGB21XXX,"KEITH BAYLEY ROGERS ",GB
213800T928MYVAA3OC69,BACOARBAXXX,"HSBC VALORES SA SOCIEDAD DE BOLSA",GB
213800NB8G5VRT1DXC91,XLMEGB21XXX,"THE LONDON METAL EXCHANGE",GB
2138002QGPYHPA7YJZ93,SABMCOB1XXX,"BAVARIA SA",CO
213800L1AVX6D5HBUK47,NAPSJOA1XXX,"NATIONAL PORTFOLIO SECURITIES COMPANY",JO
2138002MOUW7MFTDEF84,JOCIBEBBXXX,"JOHNSON CONTROLS INTERNATIONAL",BE
213800J746Z77B4DR794,BCOAGB22XXX,"BORDER TO COAST PENSIONS PARTNERSHIP LTD",GB
213800XQMOI4VP63MX43,KREFBE21XXX,KREFISERVICING,BE
213800QZ3DCH7RYKTE53,JMMBJMK1XXX,"JAMAICA MONEY MARKET BROKERS LIMITED",JM
213800TTX77KOEB2IJ42,HATAGB21XXX,"HAMILTON STUART CAPITAL LTD",GB
213800MQJDJKBAZ3WM53,RFXLGB2LXXX,"RATIONAL FOREIGN EXCHANGE LIMITED",GB
213800GRWA67I8Q8O524,FBCOPTPPXXX,"MONTEPIO INVESTIMENTO S.A.",PT
21380063WOROBSSCGO25,MRRLGB21XXX,"MARKHAM RAE LLP",GB
213800XRKQ37PFW81B32,BPEFBGS1XXX,"БНП ПАРИБА ПЪРСЪНЪЛ ФАЙНЕНС",BG
213800BHPTQXE7XZTU83,ASHMJES1XXX,"ASHBURTON (JERSEY) LIMITED",JE
2138009HB2SUK1ABV560,PSOLDE2HXXX,"JOHNSON CONTROLS RECYCLING GMBH",DE
2138002PV74I1EAGGO59,KEIOSKB1XXX,"ZENIT KAPITAL O.C.P., A.S.",SK
213800VEQRW2BR3YOR23,BNPAPTPLLIS,"BNP PARIBAS PORTUGAL ACE",PT
